Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Suggested_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices_Notes,Nurseries,PhotoCredit01,PhotoCredit02,PhotoCredit03,PhotoCredit04,Additional_Species_Cultivars_Varieties,Special_List,Habitat,Habitat_int,Thrifty150,Thrifty150_int,Sidewalk_Landscaping_Plants,Sidewalk_Landscaping_Plants_int,Super60,Super60_int,Top20,Top20_int,Shady_Clay,Shady_Clay_int,Sandy_Soil,Sandy_Soil_int
Lupinus spp.,Lupine,Fabaceae,,Shrub (evergreen),,,Varies,CA Native,,Sun,,,None,Pollinator,Birds;Bees,,,Garden,NA,NA,,,©1995 Gary A. Monroe,©1995 Gary A. Monroe,,,"arboreus, argenteus, albifrons, bicolor, chamissonis, propinquus , variicolor",,Yes,1,Yes,1,,,,,,,,,,
Lupinus argenteus,Silvery Lupine,Fabaceae,,Shrub (evergreen),Summer,Blue,,CA Native,,Sun,Loam;Sand,,None,Pollinator,Birds;Bees;Butterflies,,,Garden,NA,NA,,,©2011 Jean Pawek,©2011 Jean Pawek,,,,,yes,1,Yes,1,,,,,,,,,,
Melianthus major,Honey Bush,Melianthaceae,,Shrub (evergreen),Spring;Winter,Magenta,7-12 ft,Exotic,,Part Shade,,,Low,Cover;Nesting,,,,Garden,NA,NA,,,©2010 Zoya Akulova,©2010 Zoya Akulova,,,,,,,Yes,1,,,,,,,,,,
Nandina domestica,	Heavenly Bamboo,Berberidaceae,,Shrub (evergreen),Spring;Summer,Pink;White,4-6 ft,Exotic,,Part Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2006 Luigi Rignanese,©2006 Luigi Rignanese ,,,"Harbour Dwarf, Nana, Nana Dwarf",,,,Yes,1,Yes,1,,,,,,,,
Polygala fruticosa ‘petite butterflies',Sweet Pea Shrub,Polygalaceae,,Shrub (evergreen),Spring;Summer;Fall;Winter,Purple,1-3 ft,Exotic,,Sun;Part shade,,,Low,,,,,Garden,NA,NA,,,©2012 James Gaither,"©2014 Ernest McGray, Jr.",,,,,,,Yes,1,,,,,,,,,,
Prunus lusitanica,Portugal Laurel,Rosaceae,,Tree (evergreen),,,13-24 ft,Exotic,,Sun,,,Low,Pollinator;Cover;Nesting,Birds;Bees;Butterflies,,,Garden,NA,NA,,,©2008 Josh S. Jackson,©2008 Josh S. Jackson,,,,,Yes,1,Yes,1,,,,,,,,,,
Punica granatum 'nana',Dwarf Pomegranate,Lythraceae,,Shrub (evergreen),Spring;Summer;Fall;Winter,Orange;Red,4-6 ft,Exotic,,Sun,,,Low,,,,,Garden,NA,NA,,,©2003 Scott Zona,©2015 Georgios Liakopoulos,,,,,,,Yes,1,,,,,,,,,,
Rhaphiolepis indica,Indian Hawthorne,Rosaceae,,Shrub (evergreen),Spring,White,4-6 ft,Exotic,,Sun,,,Low,,,,,Garden,NA,NA,,,©2008 Zoya Akulova,©2008 Zoya Akulova,,,,,,,Yes,1,,,,,,,,,,
Rhus integrifolia,Lemonade Berry,Anacardiaceae,,Shrub (evergreen),Spring,White,7-12 ft,CA Native,Coastal scrub;Dunes;Chaparral,Sun,Sand;Loam,,None,Pollinator;Cover;Nesting,Birds,,,Garden,NA,NA,,,©2013 Keir Morse,©2013 Keir Morse,,,,,Yes,1,Yes,1,,,,,,,,,,
Ribes malvaceum,chaparral currant,Grossulariaceae,,Shrub (evergreen),Spring;Winter,Pink,4-6 ft,SF Native,Chaparral;Woodland,Sun;Part shade,Sand;Loam,,None,Pollinator,Birds;Bees;Butterflies,,,Garden,NA,NA,,,©2012 Jean Pawek,©2011 Vernon Smith,,,,,Yes,1,Yes,1,,,,,,,,,,
Sarcococca hookeriana humilis,Sweet Sarcococca,Buxaceae,,Shrub (evergreen),Spring,White,4-6 ft,Exotic,,Part Shade;Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2012 Megan Hansen,©2012 Leonora (Ellie) Enking,,,,,,,Yes,1,Yes,1,,,,,,,,
Teucrium fruticans,Bush Germander,Lamiaceae ,,Shrub (evergreen),Summer;Fall,Indigo,4-6 ft,Exotic,,Sun,,,Low,Pollinator,Bees,,,Sidewalk;Garden,NA,NA,,,©2005 Luigi Rignanese,©2005 Luigi Rignanese,,,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Trichostema lanatum,Woolly Blue Curls,Lamiaceae,,Shrub (evergreen),Spring;Summer,Indigo,4-6 ft,CA Native,Chaparral,Sun,Sand;Loam,,None,Pollinator,Birds;Bees,,,Garden,NA,NA,,,©2009 Keir Morse ,©2009 Keir Morse,,,,,Yes,1,Yes,1,,,,,,,,,,
Vitex agnus-castus,Chaste Tree,Verbenaceae,,Shrub (evergreen),Spring;Summer,Purple,7-12 ft,Exotic,,Sun,,,Low,Pollinator;Cover;Nesting,Birds,,,Garden,NA,NA,,,©2016 Zoya Akulova,©2016 Zoya Akulova,,,,,Yes,1,Yes,1,,,,,,,,,,
Westringia fruticosa,Coast Rosemary,Lamiaceae,,Shrub (evergreen),Spring;Summer;Fall;Winter,White,7-12 ft,Exotic,,Sun,,,Low,Cover;Nesting,,,,Sidewalk;Garden,NA,NA,,,©2009 Drew Avery,©2009 Drew Avery,,,,,,,Yes,1,Yes,1,,,,,,,,
Achillea spp.,Yarrow,Asteraceae,,Perennial,,,Varies,Exotic,,Sun,,,Low,Pollinator,Birds,,,Sidewalk;Garden,NA,NA,,,©2012 Zoya Akulova,©2011 Zoya Akulova,,,"millefolium, tomentosa, filipendulina, 'moonshine'",,Yes,1,Yes,1,Yes,1,,,,,,,,
Anigozanthos spp.,Kangaroo Paw,Haemodoraceae,,Perennial,,,1-3 ft,Exotic,,Sun,,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2010 Tony Rodd,©2014 John Rusk,,,,,Yes,1,Yes,1,,,,,,,,,,
Arum italicum,Italian Arum,Araceae,,Perennial,Spring;Summer,White,< 1 ft,Exotic,,Part Shade;Shade,Sand;Loam,,None,,,,,Garden,NA,NA,,,©2015 Barry Breckling,©2014 Scott Batiuk,,,,,,,Yes,1,,,,,,,,,,
Ballota pseudodictamnus,Grecian Horehound,Lamiaceae,,Perennial,Summer,White,1-3 ft,Exotic,,Sun,,,None,,,,,Garden,NA,NA,,,©2015 Zoya Akulova,©2011 Peganum,,,,,,,Yes,1,,,,,,,,,,
Beaucarnea recurvata,Ponytail palm,Arecaceae,Nolina recurvata,Perennial,Spring;Summer,White,7-12 ft,Exotic,,Sun,Sand;Loam;Clay,,None,Cover;Nesting,,,,Garden,NA,NA,,,©2011 Forest and Kim Starr,©2009 Forest and Kim Starr,,,,,,,Yes,1,,,,,,,,,,
Brodiaea spp.,Brodiaea,Themidaceae,,Perennial,,,1-3 ft,CA Native,,Sun,Rock,,None,,,,,Sidewalk;Garden,NA,NA,,,©2016 Steven Thorsted ,©2016 Steven Thorsted,,,,,,,Yes,1,Yes,1,,,,,,,,
Calandrinia spectabilis,Rock Purslane,Portulacaceae,,Succulent,Spring;Summer,Purple,1-3 ft,Exotic,,Sun;Part shade,,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2012 Zoya Akulova,©2012 Zoya Akulova,,,,,Yes,1,Yes,1,,,,,,,,,,
Erigeron spp.,Seaside Daisy,Asteraceae,,Perennial,,,1-3 ft,Exotic,,Sun,,,Low,,,,,Garden,NA,NA,,,©2014 Jean Pawek,©2012 Jean Pawek,,,"karvinskianus, glaucus,  foliosus var. franciscensis",,,,Yes,1,,,,,,,,,,
Dymondia margaretae,Dymondia,Asteraceae,,Perennial,Summer,Yellow,< 1 ft,Exotic,,Sun;Part shade,Sand;Loam,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2007 Tony Rodd,©2009pasiparkkila,,,,,,,Yes,1,Yes,1,,,,,,,,
Erigeron karvinskianus,Latin American fleabane,Asteraceae,,Perennial,Spring;Summer,White,,Exotic,,Sun,Sand;Loam,,Low,Pollinator,Birds;Bees,,,Sidewalk;Garden,NA,NA,,,©2015 Barry Breckling,©2015 Barry Breckling,,,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Geranium incanum,Carpet Geranium,Geraniaceae,,Perennial,Spring;Summer,Purple,1-3 ft,Exotic,,Sun;Part shade,Sand;Loam,,Low,,,,,Garden,NA,NA,,,©2003 Tony Rodd,©2003 Tony Rodd,,,,,,,Yes,1,,,,,,,,,,
Helleborus argutifolius,Corsican Hellebore,Ranunculaceae,,Perennial,Spring;Fall,Yellow,1-3 ft,Exotic,,Part Shade,Sand;Loam,,Low,,,,,Garden,NA,NA,,,©2008 Zoya Akulova,©2009 James Gaither,,,,,,,Yes,1,,,,,,,,,,
Iberis sempervirens,Evergreen Candy Tuft,Brassicaceae,,Perennial,Spring,White,1-3 ft,Exotic,,Sun;Part shade,,,Low,Pollinator,Butterflies; Birds,,,Garden,NA,NA,,,©2013 Zoya Akulova,©2011 Melanie J Watts,,,,,Yes,1,Yes,1,,,,,,,,,,
Kniphofia uvaria,Red Hot Poker,Asphodelaceae,,Perennial,Spring;Summer;Winter,Red,1-3 ft,Exotic,,Sun;Part shade,Sand;Loam,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2009 Jorg Fleige,©2014 Kerry Woods,,,,,Yes,1,Yes,1,,,,,,,,,,
Lessingia filaginifolia,California Aster,Asteraceae,,Perennial,Summer;Fall,Purple,1-3 ft,SF Native,coastal scrub;dunes,Sun,Sand;Loam,,None,Pollinator,Birds;butterflies,,,Sidewalk;Garden,NA,NA,,,©2015 Barry Breckling,©2015 John Rusk,,,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Libertia peregrinans,Orange Libertia,Iridaceae,,Perennial,Spring,White,1-3 ft,Exotic,,Sun;Part shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2008 Zoya Akulova,©2010 Tony Rodd,,,,,,,Yes,1,Yes,1,,,,,,,,
Limonium perezii            ,Sea Lavender,Plumbaginaceae,,Perennial,Summer,Purple,1-3 ft,Exotic,,Sun,Sand;Loam,,Low,,Bees,,,Sidewalk;Garden,NA,NA,,,©2016 Vahe Martirosyan,©2016 Vahe Martirosyan,,,,,yes,1,Yes,1,Yes,1,,,,,,,,
Lobelia laxiflora,Mexican Lobelia,Lobelioideae,,Perennial,Summer,red;yellow,4-6 ft,Exotic,,Sun;Part shade,Sand;Loam;Clay,,Low,Pollinator,Birds,,,Sidewalk;Garden,NA,NA,,,©2012 Zoya Akulova,©2012 Zoya Akulova,,,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Lomandra Longifolia ‘Breeze’,Lomondra,Asparagaceae,,Grass,Summer,Yellow,1-3 ft,Exotic,,Sun;Part shade,,,Low,,,,,Garden,NA,NA,,,©2005 Eric Hunt,©2013 Lance,,,,,,,Yes,1,,,,,,,,,,
Lotus berthelotii,Parrot's Beak,Fabaceae,Silene coronaria,Perennial,Summer,Red,1-3 ft,Exotic,,Sun;Part shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2010 Zoya Akulova,©2016 John Rusk,,,,,,,Yes,1,Yes,1,,,,,,,,
Monardella macrantha,red monardella,Lamiaceae,,Perennial,Summer;Fall,Red,,CA Native,Chaparral,Sun,Sand;Loam,,None,Pollinator,Butterflies;birds;bees,,,Garden,NA,NA,,,©2015 Jean Pawek,©2015 Jean Pawek,,,,,Yes,1,Yes,1,,,,,,,,,,
Nepeta x faassenii,Catmint,Lamiaceae,,Perennial,Summer;Fall,Purple;blue,1-3 ft,Exotic,,Sun;Part shade,,,Low,Pollinator,Bees,,,Garden,NA,NA,,,©2011 Andrey Zharkikh,©2012 Andrey Zharkikh,,,,,Yes,1,Yes,1,,,,,,,,,,
Oenothera speciosa,Mexican Evening Primrose,Onagraceae,,Perennial,Summer;Fall,Purple;pink,1-3 ft,Exotic,,Sun;Part shade,Sand;Loam,,Low,Pollinator,Bees,,,Garden,NA,NA,,,©2010 Zoya Akulova,©2010 Leonora Ellie Enking,,,,,Yes,1,Yes,1,,,,,,,,,,
Osteospermum fruitcosum,African Daisy,Asteraceae,,Perennial,Summer,White;Pink;Magenta,1-3 ft,Exotic,,Sun,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2010 Lance,©2010 Pauline Rosenberg,,,,,,,Yes,1,Yes,1,,,,,,,,
Penstemon spp.,Penstemon,Scrophulariaceae,,Perennial,,,1-3 ft,Exotic,,Sun;Part shade,,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2014 Barry Rice,©2014 Barry Rice,,,"centranthifolius, heterophyllus,  'midnight', parryi, pinifolius",,Yes,1,Yes,1,,,,,,,,,,
Penstemon pinifolius,Pineneedle Beardtongue,Scrophulariaceae,,Perennial,Spring;Summer,Orange,1-3 ft,Exotic,,Part Shade,Sand;Loam,,Low,Pollinator,Birds;butterflies,,,Garden,NA,NA,,,©2012 Gary A. Monroe,©2012 Gary A. Monroe,,,,,Yes,1,Yes,1,,,,,,,,,,
Perovskia atriplicifolia,Russian Sage,Lamiaceae,,Perennial,Summer;Fall,Blue,1-3 ft,Exotic,,Sun,Sand;Loam,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2006 Phillip Merritt,©2006 Phillip Merritt,,,,,Yes,1,Yes,1,,,,,,,,,,
Phormium tenax,New Zealand Flax,Phormiaceae,,Perennial,Spring,orange;red,4-6 ft,Exotic,,Sun,,,Low,,,,,Garden,NA,NA,,,©2010 Forest and Kim Starr,©2010 Forest and Kim Starr,,,,,,,Yes,1,,,,,,,,,,
Puya spp.,Puya,Bromeliaceae,,Perennial,,,7-12 ft,Exotic,,Sun,,,None,Cover;Nesting,,,,Garden,NA,NA,,,©2007 Zoya Akulova,©2011 Leonora (Ellie) Enking,,,,,,,Yes,1,,,,,,,,,,
Romneya coulteri,Matilija Poppy,Papaveraceae,,Perennial,Spring;Summer,White,7-12 ft,CA Native,,Sun,Sand;Loam,,None,Cover;Nesting,,,,Sidewalk;Garden,NA,NA,,,©2013 Jean Pawek,©2013 Jean Pawek,,,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Salvia  spp.,Salvia,Lamiaceae,,Perennial,,,4-6 ft,Exotic,,Sun,,,None,Pollinator,Birds,,,Garden,NA,NA,,,©2006 Steve Matson,©2006 Steve Matson,,,"'Bee's Bliss', chamaedryoides, leucophylla, mellifera, uliginosa,  munzii, clevelandii, sonomensis,  'Dara's choice', greggii, greggii 'Alba',greggii 'Salmon', leucantha, spathacea,laevigata,lasiandra,lasiolepis, lutea,apiana,brandegeei,  coahuilensis,",,Yes,1,Yes,1,,,,,,,,,,
Sphaeralcea ambigua,Globe Mallow,Malvaceae,,Perennial,Spring,Orange,1-3 ft,CA Native,,Sun,Sand;Loam,,None,Pollinator,Birds;bees;butterflies,,,Garden,NA,NA,,,©2016 Steven Thorsted,©2016 Steven Thorsted,,,,,Yes,1,Yes,1,,,,,,,,,,
Tanacetum parthenium,Feverfew,Asteraceae,,Perennial,Summer,White,1-3 ft,Exotic,,Sun,Sand;Loam,,Low,,,,,Garden,NA,NA,,,©2014 Richard Spellenberg,©2014 Richard Spellenberg,,,,,,,Yes,1,,,,,,,,,,
Aeonium spp.,Canary Island Rose,Crassulaceae,,Shrub (evergreen),,,1-3 ft,Exotic,,Sun;Part shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2016 Zoya Akulova,©2016 Zoya Akulova,,,"arboreum, haworthii",,,,Yes,1,Yes,1,,,,,,,,
Agave spp.,Agave,Agavaceae,,Shrub (evergreen),,,Varies,CA Native,,Sun;Part shade,,,None,,,,,Garden,NA,NA,,,©2015 Zoya Akulova ,©2015 Zoya Akulova,,,"attenuata, americana, desmettiana, vilmoriniana, x. 'Blue Flame', x. 'Blue Glow',bracteosa 'Mediopicta Alba'",,,,Yes,1,,,,,,,,,,
Aloe spp.,Aloe,Aloeaceae,,Shrub (evergreen),,,Varies,Exotic,,Sun;Part shade,,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2012 Zoya Akulova ,©2013 Zoya Akulova,,,"arborescens, brevifolia, 'Johnson's hybrid', striata",,Yes,1,Yes,1,,,,,,,,,,
Blechnum spicant,Deer Fern,Blechnaceae,,Fern,,,1-3 ft,CA Native,,Part Shade;Shade,Loam;sand,,Low,,,,,Garden,NA,NA,,,©2016 Zoya Akulova,©2016 Zoya Akulova,,,,,Yes,1,Yes,1,,,,,,,,,,
Bulbine frutescens,Stalked bulbine,Asphodelaceae,,Shrub (evergreen),Spring;Summer,Yellow,1-3 ft,Exotic,,Part Shade,,,Low,,,,,Garden,NA,NA,,,©2010 Zoya Akulova,©2009 Forest and Kim Starr,,,,,,,Yes,1,,,,,,,,,,
Bougainvillea spp.,Bougainvillea,Nyctaginaceae,,Vine,,,13-24 ft,Exotic,,Sun,,,Low,Cover;Nesting,,,,Garden,NA,NA,,,©2012 Zoya Akulova,©2012 Zoya Akulova,,,'Barbara Karst',,,,Yes,1,,,,,,,,,,
Calystegia macrostegia,California Morning Glory,Convolvulacea,,Vine,Spring;Summer,,13-24 ft,CA Native,coastal scrub;chaparral,Sun,Loam;sand,,None,Cover;Nesting,,,,Garden,NA,NA,,,©2013 Zoya Akulova,©2013 Zoya Akulova,,,,,Yes,1,Yes,1,,,,,,,,,,
Chamaerops humilis,Mediterranean Fan Palm ,Arecaceae,,Palm,,Yellow,13-24 ft,Exotic,,Sun;Part Shade,,,Low,Cover;Nesting,,,,Garden,NA,NA,,,©2005 Luigi Rignanese,©2005 Luigi Rignanese,,,,,,,Yes,1,,,,,,,,,,
Clematis spp.,Clematis,Ranunculaceae,,Vine,,,7-12 ft,Exotic,,Sun,,,Low,Pollinator;Cover;Nesting,Birds,,,Garden,NA,NA,,,©2008 Mike Ireland,©2008 Mike Ireland,,,"lasiantha, armandii, ligusticifolia",,Yes,1,Yes,1,,,,,,,,,,
Cotyledon orbiculata      ,"Cotyledon, Pigs Ears",Crassulaceae,,Succulent,Summer,Orange,1-3 ft,Exotic,,Sun;Part Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2011 FarOutFlora,©2011 FarOutFlora,,,,,,,Yes,1,Yes,1,,,,,,,,
Delosperma cooperi,Cooper's Ice Plant,Aizoaceae,,Shrub (evergreen),Summer;Fall,Magenta,1-3 ft,Exotic,,Sun;Part Shade,Sand,,Low,Cover,,,,Sidewalk;Garden,NA,NA,,,©2005 Luigi Rignanese,©2005 Luigi Rignanese,,,,,,,Yes,1,Yes,1,,,,,,,,
Echeveria elegans,Hens and Chicks,Crassulaceae,,succulent,Spring;summer,Pink,< 1 ft,Exotic,,Sun;Part Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2010 Zoya Akulova,©2014 Zoya Akulova,,,,,,,Yes,1,Yes,1,,,,,,,,
Graptopetalum paraguayense,Ghost Plant,Crassulaceae,,succulent,Spring,White,< 1 ft,Exotic,,Sun;Part Shade,,,None,,,,,Garden,NA,NA,,,©2015 Zoya Akulova,©2015 Zoya Akulova,,,,,,,Yes,1,,,,,,,,,,
Gomphrena globosa,Globe Amaranth,Amaranthaceae,,Annual,Summer;Fall,Magenta,1-3 ft,Exotic,,Sun;Part shade,Clay;Sand;Loam,,Low,,Butterflies,,,Garden,NA,NA,,,©2010 Moorea Biocode ,©2009 Forest and Kim Starr,,,,,,,Yes,1,,,,,,,,,,
Helicotrichon sempervirons,Blue Oat Grass,Poaceae,,Grass,Summer,Blue;Brown,1-3 ft,Exotic,,Sun,,,Low,Cover,,,,Garden,NA,NA,,,©2009 Drew Avery,©2011 Andrey Zharkikh,,,,,,,Yes,1,,,,,,,,,,
Lampranthus spectabilis,Trailing Ice Plant,Aizoaceae,,Shrub (evergreen),Spring;summer,Magenta;Pink;Purple,1-3 ft,Exotic,,Sun,,,Low,,,,,Garden,NA,NA,,,©2007 Leonora (Ellie) Enking,©2005 Spiegel,,,,,,,Yes,1,,,,,,,,,,
Elymus condensatus,Giant Wild Rye,Poaceae,,Grass,Summer,White,7-12 ft,SF Native,,Sun;Part shade,Clay;loam,,None,Cover;Nesting,,,,Garden;Roof,NA,NA,,,©2013 Peggy A. Lopipero-Langmo,©2013 John Rusk,,,,,Yes,1,Yes,1,,,,,,,,,,
Rhodocoma arida,Rhodocoma,Restionaceae,,Grass,Fall;Winter,,4-6 ft,Exotic,,Sun;Part Shade,,,Low,,,,,Garden,NA,NA,,,©2007Eric Hunt,©2015 NickyVB,,,,,,,Yes,1,,,,,,,,,,
Rosa banksiae,Lady Banks Rose,Rosaceae,,Vine,Spring,Yellow,13-24 ft,Exotic,,Sun,,,Low,Pollinator;Cover;Nesting,Birds,,,Garden,NA,NA,,,©2011 Stefano,©2006 Andreas Phillip,,,,,Yes,1,Yes,1,,,,,,,,,,
Sedum spp.,Stonecrop,Crassulaceae,,Shrub (evergreen),,,Varies,CA Native,,Sun;Part Shade,,,Low,,,,,Garden,NA,NA,,,©2015 Zoya Akulova,©2013 Zoya Akulova,,,"x. rubrotinctum, spectabile,dendroideum,  pachyphyllum, palmeri, spathulifolium",,Yes,1,Yes,1,,,,,,,,,,
Senecio spp.,Blue Chalk Stalks,Asteraceae,,Shrub (evergreen),,,1-3 ft,Exotic,,Sun;Part Shade,,,Low,,,,,Garden,NA,NA,,,©2005 Robert Sivinski,©2005 Robert Sivinski,,,"mandraliscae, serpens, vitalis, amaniensis,  cineraria, hydrophilus, scaposus",,Yes,1,Yes,1,,,,,,,,,,
Yucca spp.,Bright Star Yucca,Agavaceae,,Shrub (evergreen),,Yellow;White,Varies,CA Native,,Sun,,,None,,,,,Garden,NA,NA,,,©2010 Megan Hansen,©2012 FarOutFlora,,,"'Bright Star', filamentosa, recurvifolia",,,,Yes,1,,,,,,,,,,
Ribes spp.,Red flowering currant,Grossulariaceae,,Shrub (evergreen),,Purple;Pink;White;Yellow;Red,7-12 ft,CA Native,,Sun;Part Shade,,,Low,Pollinator;Cover;Nesting,Birds,,,Garden,NA,NA,,,©2006 Steve Matson,©2006 Steve Matson,,,"aureum, sanguineum, malvaceum, menziesii, sanguineum var. glutinosum,  speciosum",,Yes,1,Yes,1,,,,,,,,,,
Eriogonum spp.,California Buckwheat,Polygonaceae,,Perennial,,White;Pink;Purple;Yellow,4-6 ft,CA Native,,Sun,,,None,Pollinator,Birds,,,Sidewalk;Garden,NA,NA,,,©2005 Keir Morse,©2009 Keir Morse,,,"fasciculatum, latifolium, giganteum,grande rubescens ,nudum, parvifolium, umbellatum",,Yes,1,Yes,1,Yes,1,,,,,,,,
Achillea clavennae,Silver yarrow,Asteraceae,,Perennial,Summer;Fall,White,< 1 ft,Exotic,,Sun,,,Low,Pollinator,Butterflies;bees;birds,,,Sidewalk;Garden,NA,NA,,,©2010 Hermann Falkner,©2010 Hermann Falkner,,,,,Yes,1,,,Yes,1,,,,,,,,
Aeonium arboreum varieties,Tree aenium,Crassulaceae,,Succulent,Summer,Yellow,1-3 ft,Exotic,,Sun;Part Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2013 Zoya Akulova,©2011 Zoya Akulova,,,,,,,,,Yes,1,,,,,,,,
Aeonium decorum varieties,Green pinwheel,Crassulaceae,,Succulent,Summer,Pink,< 1 ft,Exotic,,Sun;Part Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2013 Salchuiwt,©2007 Mike Keeling,,,,,,,,,Yes,1,,,,,,,,
Agapanthus hybrids,Lily-of-the-Nile,Liliaceae,,Perennial,Summer;Fall,Blue,1-3 ft,Exotic,,Sun;Part Shade,Sand;Loam;Clay,,Low,Pollinator,Butterflies;Bees,,,Sidewalk;Garden,NA,NA,,,©2012 Gary Churchman,©2012 Gary Churchman,,,,,Yes,1,,,Yes,1,,,,,,,,
Agave bracteosa 'Mediopicta Alba','Mediopicta Alba' Squid,Agavaceae,,Succulent,,Yellow;Green,1-3 ft,Exotic,,Sun,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2003 Carlos Velazco,©2010 Robyn Turner,,,,,,,,,Yes,1,,,,,,,,
Agave attenuata 'Nova',Nova,Agavaceae,,Succulent,,Yellow;Green,1-3 ft,Exotic,,Sun;Part Shade;Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2009 Enbodenumer,©2009 Enbodenumer,,,,,,,,,Yes,1,,,,,,,,
Aloe 'Johnson's hybrid','Johnson's hybrid',Aloeaceae,,Succulent,Spring;Summer;Fall;Winter,Orange,< 1 ft,Exotic,,Sun;Part Shade,Loam;sand,,Low,,,,,Sidewalk;Garden,NA,NA,,,www.smgrowers.com,www.smgrowers.com,,,,,,,,,Yes,1,,,,,,,,
Anemone x hybrida,Japanese Anemon,Ranunculaceae,,Perennial,Summer;Fall,Pink,< 1 ft,Exotic,,Sun;Part Shade,,,Low,Pollinator,Bees,,,Sidewalk;Garden,NA,NA,,,©2007 Tim Waters,©2011 Andrey Zharkikh,,,,,Yes,1,,,Yes,1,,,,,,,,
Anigozanthos hybrids,Kangaroo Paw,Haemodoraceae,,Perennial,,Red;Orange;Yellow,1-3 ft,Exotic,,Sun,Sand,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2010 Tony Rodd,©2014 John Rusk,,,,,,,,,Yes,1,,,,,,,,
Arctostaphylos uva ursi 'Radiant',Radiant Bearberry,Ericaceae,,Shrub (evergreen),Spring;Winter,Pink,< 1 ft,CA Native,,Sun;Part Shade,Many,,None,Pollinator,Butterflies;Bees;Hummingbirds,,,Sidewalk;Garden,NA,NA,,,©2011 FarOutFlora,©2007 Cliff,,,,,Yes,1,,,Yes,1,,,,,,,,
Artemisia 'Powis Castle',Silver Sage,Asteraceae,,Perennial,,Yellow,1-3 ft,Exotic,,Sun,,,Low,Pollinator,Butterflies;Bees,,,Sidewalk;Garden,NA,NA,,,©2006 Patrick Standish,©2007 Patrick Standish,,,,,Yes,1,,,Yes,1,,,,,,,,
Artemisia pycnocephala 'David's Choice ',Sandhill sage,Asteraceae,,Perennial,Spring;Summer,Yellow,1-3 ft,CA Native,,Sun,,,None,,,,,Sidewalk;Garden,NA,NA,,,©2010 Jacki-dee,©2010 CountryMouse13,,,,,Yes,1,,,Yes,1,,,,,,,,
Bouteloua dactyloides,Buffalo Grass,Poaceae,,Perennial,Spring,Brown,< 1 ft,Exotic,,Sun,clay;loam,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2011 Andrey Zharkikh,©2011 Andrey Zharkikh,,,,,,,,,Yes,1,,,,,,,,
Calamagrostis foliosa,Cape Mendicino Reed Grass,Poaceae,,Perennial,Summer;Fall,,1-3 ft,CA Native,Coastal scrub;Woodland,Sun,Sand;Loam,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2011 Zoya Akulova,©2011 Zoya Akulova,,,,,Yes,1,,,Yes,1,,,,,,,,
Carex buchananii,Leather leaf sedge,Cyperaceae,,Shrub (evergreen),Summer,Brown,1-3 ft,Exotic,,Sun;Part Shade,,,Moderate,Pollinator,Butterflies,,,Sidewalk;Garden,NA,NA,,,©2012 Forest and Kim Starr,©2012 Forest and Kim Starr,,,,,Yes,1,,,Yes,1,,,,,,,,
Carex texensis,Catlin sedge,Cyperaceae,,Shrub (evergreen),Summer,Green,< 1 ft,Exotic,,Part shade;Shade,,,Low,,,,,Sidewalk;Garden,NA,NA,,,©2003 Steve Matson,©2003 Steve Matson,,,,,,,,,Yes,1,,,,,,,,
